所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,参考句,PR地址,PR编号,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
ArkUI_RoundRectShapeOption,10,未确认,,P1,ArkUI,,,该 typedef 声明末尾缺少分号，不是完整合法的 C 声明；开发者直接复制使用时会产生编译错误。,,typedef struct ArkUI_RoundRectShape ArkUI_RoundRectShapeOption;,typedef struct ArkUI_RoundRectShape ArkUI_RoundRectShapeOption,4.   代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档capi-arkui-nativemodule-arkui-roundrectshapeoption.md第10行采用C API类型页的签名展示格式；同目录212个typedef代码块均不写分号，而真实声明在interface/sdk_c/arkui/ace_engine/native/native_render.h第155行已包含分号。,无需修改；保留C API类型页统一的typedef签名展示格式。
ArkUI_RoundRectShapeOption,15,未确认,,P2,ArkUI,,,“圆角矩形形状配置项”已经表明该类型用于配置圆角矩形形状，后续“用于配置圆角矩形形状”重复表达相同含义，存在语义冗余。,,定义圆角矩形形状配置项，可用于创建渲染节点遮罩或裁剪。,定义圆角矩形形状配置项，用于配置圆角矩形形状，并可用于创建渲染节点遮罩或裁剪。,"是否存在冗余修饰、重复啰嗦的表述（如""的作用是""""通过...来""""所对应的""等堆砌）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-roundrectshapeoption.md第15行先定义配置项，再说明配置对象及遮罩、裁剪用途，符合native-template.md第62至65行对结构体作用和使用场合的说明要求，不属于需要删除的冗余。,无需修改；保持第15行原文，并同步保持capi-native-render-h.md第45行汇总表原文。
ArkUI_ScaleOptions,31,未确认,,P2,ArkUI,,,该描述仅说明z参数在二维显示模式下无效，未说明其在三维显示模式下的取值原则以及不同取值区间或特殊值对应的缩放效果，用户无法据此确定实现预期三维缩放场景所需的参数值。,,z轴的缩放倍数。在二维显示模式下，该参数无效；在三维显示模式下，应依据需求设计说明书补充不同取值区间及特殊值对应的缩放效果。,z轴的缩放倍数。在二维显示模式下，该参数无效。,'- **规则名称**: 参考需求设计说明书，检查文档中是否说明参数取值原则，如参数取值存在某些隐含规则、参数需要为某个值才能实现某个场景。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第31行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,15,未确认,,P2,ArkUI,,,概述仅说明该结构体表示组件转场时的缩放效果对象，未概括其可配置各轴缩放倍数和变换中心点的核心能力，读者无法仅通过总体描述完整了解该对象在组件转场中的具体用途。,,定义组件转场时的缩放效果对象，用于配置组件在转场过程中的各轴缩放倍数和变换中心点。,定义组件转场时的缩放效果对象。,'- **规则名称**: 检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,capi-arkui-nativemodule-arkui-scaleoptions.md第15行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类成员变量x的描述明确说明“缩放以centerX为锚点进行”，centerY的描述也明确说明其取值决定y轴缩放的锚点位置，但y的自身描述未说明缩放以centerY为锚点进行。x与y属于参数结构和功能对称的同组属性，二者对关联锚点属性的说明不一致，导致用户仅查看y时无法完整获知其锚点依赖关系。,,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,**同类方法已有说明，本方法没有**：同一文档中，功能相似或相关联的一组方法/属性，部分已说明了生效条件，但另一部分未提及。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类参数x已明确说明“缩放以centerX为锚点进行”，centerY的参数说明也明确指出其取值会影响y方向的缩放锚点行为，但y参数自身未说明y轴缩放以centerY为锚点，导致关联参数centerY对当前缩放操作的影响描述不完整。,,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,若使用该参数时有前提条件/前置操作，检查文档中关于设置该参数的前提条件、前置操作描述是否完整，前置参数设置后返回值或者回调对当前参数的影响，以及对当前操作的影响描述是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_7.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P1,ArkUI,,,同类参数x的描述明确说明“缩放以centerX为锚点进行”，且centerY的描述已明确其取值会影响y方向的缩放锚点行为，但y参数自身未说明y轴缩放与centerY的配合关系，导致同类参数的关联信息完整度不一致。,,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。缩放以centerY为锚点进行。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,| float y | y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。 |,**同类参数已有说明，本参数没有**：同一文档中，功能相似或相关联的一组参数，部分已说明了相关信息，但另一部分未提及。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_2_2_9.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中参数的取值说明、使用建议、注意事项提供完整,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,33,未确认,,P2,ArkUI,,,“取值决定缩放时锚点的y方向位置”和“不同取值会产生不同的缩放锚点行为”重复说明centerY取值会影响锚点位置；“不同的缩放锚点行为”表述抽象，且未提供超出后续三个具体取值说明的新信息。,,组件变换中心点（即锚点）的y轴坐标，单位为vp。取值为0、组件高度一半或组件高度时，缩放分别从组件顶部边缘、垂直中心或底部边缘展开。,组件变换中心点（即锚点）的y轴坐标，单位为vp。取值决定缩放时锚点的y方向位置，不同取值会产生不同的缩放锚点行为。取值为0时缩放从组件顶部边缘展开，取值为组件高度一半时缩放从垂直中心展开，取值为组件高度时缩放从底部边缘展开。,能否在不丢失信息的前提下用更少的文字表达,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第33行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,32,未确认,,P2,ArkUI,,,“不同centerX值下缩放起始位置不同”“取值决定缩放时锚点的x方向位置”和“不同取值会产生不同的缩放锚点行为”均在说明centerX取值会影响锚点位置，语义重复；其中“不同的缩放锚点行为”也较为抽象，而后续具体取值说明已经完整表达相关效果。,,组件变换中心点（即锚点）的x轴坐标，单位为vp，x轴缩放效果以该点为锚点。取值为0、组件宽度一半或组件宽度时，缩放分别从组件左边缘、水平中心或右边缘展开。,组件变换中心点（即锚点）的x轴坐标，单位为vp。x轴缩放效果以该点为锚点进行，不同centerX值下缩放起始位置不同。取值决定缩放时锚点的x方向位置，不同取值会产生不同的缩放锚点行为。取值为0时缩放从组件左边缘展开，取值为组件宽度一半时缩放从水平中心展开，取值为组件宽度时缩放从右边缘展开。,能否在不丢失信息的前提下用更少的文字表达,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第32行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,30,未确认,,P2,ArkUI,,,前文“y<0时沿y轴方向反向”已经说明负值会导致方向反转，后文“y<0时会产生方向反转效果”重复表达相同信息；“使用时需留意特殊值的影响”未补充具体注意事项，属于无有效信息的冗余提醒。,,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。y=0时组件在y轴方向完全消失。,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y<0时沿y轴方向反向，缩放倍数为\|y\|。注意：y=0时组件在y轴方向完全消失，y<0时会产生方向反转效果，使用时需留意特殊值的影响。,"是否存在冗余修饰、重复啰嗦的表述（如""的作用是""""通过...来""""所对应的""等堆砌）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第30行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,29,未确认,,P2,ArkUI,,,前文“x<0时沿x轴方向反向”已经说明负值会导致方向反转，后文“x<0时会产生方向反转效果”重复表达相同信息；“使用时需留意特殊值的影响”未说明需要留意的其他具体影响，也未增加有效信息。,,x轴的缩放倍数。x>1时以x轴方向放大，0<x<1时以x轴方向缩小，x<0时沿x轴方向反向，缩放倍数为\|x\|。缩放以centerX为锚点进行。x=0时组件在x轴方向完全消失。,x轴的缩放倍数。x>1时以x轴方向放大，0<x<1时以x轴方向缩小，x<0时沿x轴方向反向，缩放倍数为\|x\|。缩放以centerX为锚点进行。注意：x=0时组件在x轴方向完全消失，x<0时会产生方向反转效果，使用时需留意特殊值的影响。,"是否存在冗余修饰、重复啰嗦的表述（如""的作用是""""通过...来""""所对应的""等堆砌）",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,capi-arkui-nativemodule-arkui-scaleoptions.md第29行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,33,未确认,,P2,ArkUI,,,前后两个分句都在表达centerY的不同取值会影响缩放锚点，信息重复；紧随其后的三个具体取值说明已经完整展示了锚点位置，无需保留该概括句。,,| float centerY | 组件变换中心点（即锚点）的y轴坐标，单位为vp。取值为0时缩放从组件顶部边缘展开，取值为组件高度一半时缩放从垂直中心展开，取值为组件高度时缩放从底部边缘展开。 |,取值决定缩放时锚点的y方向位置，不同取值会产生不同的缩放锚点行为。,'- **规则名称**: 每个步骤有清晰的执行主体（who），明确操作目的（why）、操作内容（what/how）、场景（when/where）。使用祈使句描述步骤，避免语句不通/啰嗦冗余/长句影响理解。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/27_1_1_1.md,体验,内容清晰性,语言描述清晰性,验证文档语言描述清晰，便于理解。,否,capi-arkui-nativemodule-arkui-scaleoptions.md第33行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_ScaleOptions,32,未确认,,P2,ArkUI,,,相邻两句均在说明centerX的取值会影响缩放锚点位置及缩放起始位置，语义重复。后文已经列出取值为0、组件宽度一半和组件宽度时的具体效果，无需连续保留两句概括性描述。,,| float centerX | 组件变换中心点（即锚点）的x轴坐标，单位为vp。x轴缩放效果以该点为锚点进行。取值为0时缩放从组件左边缘展开，取值为组件宽度一半时缩放从水平中心展开，取值为组件宽度时缩放从右边缘展开。 |,x轴缩放效果以该点为锚点进行，不同centerX值下缩放起始位置不同。取值决定缩放时锚点的x方向位置，不同取值会产生不同的缩放锚点行为。,'- **规则名称**: 每个步骤有清晰的执行主体（who），明确操作目的（why）、操作内容（what/how）、场景（when/where）。使用祈使句描述步骤，避免语句不通/啰嗦冗余/长句影响理解。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/27_1_1_1.md,体验,内容清晰性,语言描述清晰性,验证文档语言描述清晰，便于理解。,否,capi-arkui-nativemodule-arkui-scaleoptions.md第32行所在文档归属非本组，本批次不处理；已按检视意见撤销该页面及capi-native-type-visual-h.md第30行汇总表的相关修改。,无需修改；该问题转由文档归属组处理，本组保持原文。
ArkUI_SystemFontStyleEvent,10,未确认,,P1,ArkUI,,,该typedef声明末尾缺少C语言语法要求的分号，按原样放入代码上下文会产生编译错误，不符合示例代码可正常编译且无报错的要求。,,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent;,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent,'- **规则名称**: 示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档capi-arkui-nativemodule-arkui-systemfontstyleevent.md第10行与同目录C API类型页统一采用无分号的签名展示格式；真实声明在interface/sdk_c/arkui/ace_engine/native/native_type.h第649行包含分号。,无需修改；保留生成型C API类型页统一格式。
ArkUI_SystemFontStyleEvent,10,未确认,,P1,ArkUI,,,该C语言typedef声明末尾缺少声明所必需的分号，会导致编译时出现语法错误。,,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent;,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent,代码块中代码编写不符合语法、规范等。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档capi-arkui-nativemodule-arkui-systemfontstyleevent.md第10行不是可直接复制的完整头文件声明，而是类型签名展示；同目录212个typedef代码块均采用相同格式。,无需修改；真实C声明以native_type.h第649行为准。
ArkUI_Vector2PropertyHandle,15,未确认,,P3,ArkUI,,,中文“在”与英文产品名称“ArkUI”之间缺少空格，不符合中英文混排格式要求。,,定义二维向量属性指针，用于在 ArkUI 原生渲染属性接口中创建、附加、设置、获取和释放二维向量属性。,定义二维向量属性指针，用于在ArkUI原生渲染属性接口中创建、附加、设置、获取和释放二维向量属性。,'- 中英文混排是否符合规范（如中英文之间是否有空格）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,README-template.md第40行明确规定英文字母和中文之间不要有空格，因此capi-arkui-nativemodule-arkui-vector2propertyhandle.md第15行“在ArkUI”符合当前仓规范。,无需修改；不在“在”和“ArkUI”之间添加空格。
ArkUI_Vector2PropertyHandle,15,未确认,,P1,ArkUI,,,“ArkUI”在API功能描述正文中作为鸿蒙专有框架名称首次出现，不属于代码、HTML注释、标题、结构性标签或API类型引用；当前句及相邻上下文均未提供其中文全称或解释，不符合专有术语首次出现时提供全称的要求。,,定义二维向量属性指针，用于在ArkUI（方舟UI框架）原生渲染属性接口中创建、附加、设置、获取和释放二维向量属性。,定义二维向量属性指针，用于在ArkUI原生渲染属性接口中创建、附加、设置、获取和释放二维向量属性。,全称提供（核心检查项）：首次出现时是否提供了中文全称或英文全称。规范格式：中英对照：`ArkCompiler（方舟编译器）`,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkUI已在zh-cn/glossary.md第21行作为术语“ArkUI；方舟开发框架”统一解释；style-guide-content-elements.md第212行仅建议缩略语首次出现时给出全称，ArkUI不是需在每个API类型页重复展开的缩略语。,无需修改；保留第15行的API语境表述并复用全局术语表。
ArkUI_RenderNodeUtils,11,未确认,,P1,ArkUI,,,ArkUI 是鸿蒙体系的专有框架名称。其在标题和 HTML 注释中的出现不计入正文首次出现，因此第11行是首次有效出现；此处 ArkUI 作为框架概念用于说明能力范围，不属于 API 类名或类型引用，且所在句及相邻句均未提供中文全称或释义，不符合专有框架名称首次出现时提供全称的要求。,,提供 ArkUI（方舟UI框架）在 Native 侧的 RenderNode 能力，适用于需要在 Native 侧创建、销毁和管理 RenderNode 渲染节点的场景。,提供 ArkUI 在 Native 侧的 RenderNode 能力，适用于需要在 Native 侧创建、销毁和管理 RenderNode 渲染节点的场景。,产品/框架名称 | 系统能力套件或工具名称 | Ability Kit、Form Kit、IME Kit、IPC Kit、Network Kit、ArkWeb、ArkData | 仅在 HTML 注释/标签中的（如 `<!--Kit: ArkWeb-->`）按排除清单D不报；正文首次裸用且无全称才报,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkUI已在zh-cn/glossary.md第21行统一解释，capi-arkui-rendernodeutils.md第11行属于ArkUI Kit下的模块能力说明；模板未要求每个模块页重复术语定义。,无需修改；不在第11行重复加入ArkUI释义。
native_interface.h,11,未确认,,P2,ArkUI,,,该概述仅列出了初始化C-API环境、获取Native模块接口集合和获取报错信息等功能，未说明这些能力适用的整体场景，也未体现统一入口在简化接口访问和辅助故障排查方面解决的问题与收益，模块级总体描述不够完整。,,提供NativeModule接口的统一入口函数，用于初始化C-API环境、获取指定类型的Native模块接口集合，以及获取最新一次的报错信息，适用于需要统一初始化和访问ArkUI Native模块接口并辅助排查接口错误的场景。,提供NativeModule接口的统一入口函数，用于初始化C-API环境、获取指定类型的Native模块接口集合，以及获取最新一次的报错信息。,'- **规则名称**: 检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,capi-native-interface-h.md第11行已经概括统一入口函数的主要功能；native-template.md第34至37行未要求必须额外描述简化访问、故障排查等收益，原扫描结论属于误报。,无需修改；撤销capi-native-interface-h.md第11行新增的使用场景描述，保持原概述。
native_interface.h,21,未确认,,P3,ArkUI,,,该同级文件链接未使用“./”，而文档中其他同级文件链接使用了“./”，存在相对路径书写风格不一致的问题。,,**相关模块：** [ArkUI_NativeModule](./capi-arkui-nativemodule.md),**相关模块：** [ArkUI_NativeModule](capi-arkui-nativemodule.md),'- 链接路径风格不一致（部分用 `./` 部分不用）,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/22_1_1_1.md,质量,内容规范性,超链接规范,验证超链接跳转页面有效,否,capi-native-interface-h.md第21行链接可正确解析到同目录capi-arkui-nativemodule.md；README-template.md第41行只要求链接有效、具体和使用相对链接，未强制同级链接必须带“./”。,无需修改；当前相对链接有效且目标明确。
native_node_napi.h,11,未确认,,P1,ArkUI,,,该句是文档正文中 ArkTS 和 ArkUI 的首次有效出现，两者分别是鸿蒙体系中的专有语言名称和框架名称，并且属于本文档核心能力描述，但句中及相邻句均未提供“方舟编程语言”和“方舟UI框架”等全称或解释。行2至行3中的 ArkUI 位于 HTML 注释内，按内容排除规则不参与首次出现判定。FrameNode、UIContext、NodeContent、DrawableDescriptor、Navigation 和 Router 在本句语境中属于 API 类型或组件引用，满足链接、紧邻“对象”或“页面”等排除信号，不构成问题。,,提供方舟编程语言（ArkTS）侧[FrameNode](js-apis-arkui-frameNode.md)、[UIContext](arkts-apis-uicontext-uicontext.md)、NodeContent、DrawableDescriptor等对象与Native侧对象的转换，以及Navigation、Router页面信息查询、帧回调/空闲回调注册和事件直通启用或禁用等能力，适用于ArkTS与Native侧进行方舟UI框架（ArkUI）节点、上下文、资源和页面状态联动的场景。,提供ArkTS侧[FrameNode](js-apis-arkui-frameNode.md)、[UIContext](arkts-apis-uicontext-uicontext.md)、NodeContent、DrawableDescriptor等对象与Native侧对象的转换，以及Navigation、Router页面信息查询、帧回调/空闲回调注册和事件直通启用或禁用等能力，适用于ArkTS与Native侧进行ArkUI节点、上下文、资源和页面状态联动的场景。,1. **全称提供**（核心检查项）：首次出现时是否提供了中文全称或英文全称。规范格式：,,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkTS和ArkUI分别已在zh-cn/glossary.md第17行和第21行解释；capi-native-node-napi-h.md第11行位于对应Kit的API参考页，模板未要求在每个文件概述中重复全称。,无需修改；保留API名称和术语表的统一定义。
native_node_napi.h,42,未确认,,P1,ArkUI,,,“在页面栈的索引”缺少方位助词“中”，形成“在……的索引”的不完整结构，属于导致语法错误的明确少字问题。,,"| [ArkUI_ErrorCode OH_ArkUI_GetNavDestinationIndex(ArkUI_NodeHandle node, int32_t* index)](#oh_arkui_getnavdestinationindex) | 获取当前节点所在的NavDestination组件在页面栈中的索引。 |","| [ArkUI_ErrorCode OH_ArkUI_GetNavDestinationIndex(ArkUI_NodeHandle node, int32_t* index)](#oh_arkui_getnavdestinationindex) | 获取当前节点所在的NavDestination组件在页面栈的索引。 |","'- 少字的判断标准：仅在缺少的字导致句子产生语法错误或明确歧义时报出；若仅是语气或表达习惯的细微差别（如""返回该值""与""返回值""、""点击按钮触发该回调""与""点击按钮触发回调""、""调用该接口""与""调用接口""），不报告",,,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/21_1_1_1.md,质量,内容规范性,无拼写错误/错别字/重复字,验证文档中无拼写错误、错别字、重复字,是,capi-native-node-napi-h.md第42行汇总表和第377行正文均写成“在页面栈的索引”，缺少“中”，语法不完整。,将第42行和第377行同步改为“在页面栈中的索引”。
native_node_napi.h,49,未确认,,P1,ArkUI,,,汇总表中的接口签名将 OH_ArkUI_InitModuleForArkTSEnv() 的返回类型写为 int32_t，但第565行的正式代码声明和第586行的返回类型说明均明确使用 ArkUI_ErrorCode，导致同一文档中的接口签名不一致。,,| [ArkUI_ErrorCode OH_ArkUI_InitModuleForArkTSEnv(napi_env env)](#oh_arkui_initmoduleforarktsenv) | 初始化指定上下文环境的ArkUI相关接口，适用于在Native侧使用ArkUI相关接口前进行上下文环境初始化的场景。该函数禁止在非UI线程中调用，否则程序将主动中止。使用该函数初始化指定上下文环境后，在对应环境销毁时调用[OH_ArkUI_NotifyArkTSEnvDestroy()](#oh_arkui_notifyarktsenvdestroy)通知环境已销毁。 |,| [int32_t OH_ArkUI_InitModuleForArkTSEnv(napi_env env)](#oh_arkui_initmoduleforarktsenv) | 初始化指定上下文环境的ArkUI相关接口，适用于在Native侧使用ArkUI相关接口前进行上下文环境初始化的场景。该函数禁止在非UI线程中调用，否则程序将主动中止。使用该函数初始化指定上下文环境后，在对应环境销毁时调用[OH_ArkUI_NotifyArkTSEnvDestroy()](#oh_arkui_notifyarktsenvdestroy)通知环境已销毁。 |,代码块中使用接口，和接口的定义、参数不匹配，描述不一致等问题。,,,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,当前capi-native-node-napi-h.md第49行汇总表、第565行声明和第586行返回类型均为ArkUI_ErrorCode，与interface/sdk_c/arkui/ace_engine/native/native_node_napi.h第388行一致，扫描问题已不存在。,无需修改；保持现有ArkUI_ErrorCode签名。
